,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
130,6.0,Ireland,IRL,1730.0,4941444.0,8704.655000000002,2020-03-27,,1.0,2020-06-27,2020-01-09,EPI_THIRD_WAVE,33090.525,9.48508168867238,8107.21319517129,0.0,-14.0,0.0,-15.0,-12.0,0.0,1.0,1.0,,,70.0,-8.0,-8.0,12.0,106.0
131,6.0,Ireland,IRL,350.0,4941444.0,9826.605,2020-07-04,1591377.0,2.0,2020-12-04,2020-06-27,EPI_THIRD_WAVE,33090.525,9.48508168867238,8107.21319517129,0.0,-14.0,0.0,-15.0,-12.0,0.0,1.0,1.0,,,70.0,-8.0,-8.0,12.0,106.0
132,6.0,Ireland,IRL,2372.0,4941444.0,7972.630000000001,2020-12-06,1663147.0,3.0,2021-03-10,2020-12-04,EPI_THIRD_WAVE,33090.525,9.48508168867238,8107.21319517129,0.0,-14.0,0.0,-15.0,-12.0,0.0,1.0,1.0,,,70.0,-8.0,-8.0,12.0,106.0
133,1.0,Iran,IRN,62653.0,82913906.0,24676.765000000007,2020-02-25,,1.0,2021-04-01,2020-02-25,EPI_FIRST_WAVE,29432.005000000005,7.557839573979304,1546.4048937701716,157.0,9.0,26.0,-3.0,224.0,244.0,224.0,9.0,,,82.0,44.0,44.0,91.0,323.0
134,3.0,Iraq,IRQ,12984.0,39309783.0,24861.850000000002,2020-03-17,,1.0,2021-01-23,2020-01-09,EPI_SECOND_WAVE,33882.215000000004,3.6436222504713394,2022.4672825082753,-6.0,-21.0,0.0,-21.0,-21.0,-4.0,-4.0,-6.0,0.0,343.0,,22.0,28.0,92.0,272.0
135,3.0,Iraq,IRQ,1339.0,39309783.0,4497.574999999999,2021-01-26,,2.0,2021-04-01,2021-01-23,EPI_SECOND_WAVE,33882.215000000004,3.6436222504713394,2022.4672825082753,-6.0,-21.0,0.0,-21.0,-21.0,-4.0,-4.0,-6.0,0.0,343.0,,22.0,28.0,92.0,272.0
136,4.0,Iceland,ISL,10.0,361313.0,4491.040000000001,2020-04-21,62725.0,1.0,2020-06-07,2020-02-28,EPI_SECOND_WAVE,21300.1,0.8026281921768661,8575.50101989134,338.0,338.0,,-36.0,193.0,,,,,-39.0,-43.0,-52.0,-46.0,-36.0,-8.0
137,4.0,Iceland,ISL,19.0,361313.0,11913.205000000002,2020-11-09,215091.0,2.0,2021-02-27,2020-06-07,EPI_SECOND_WAVE,21300.1,0.8026281921768661,8575.50101989134,338.0,338.0,,-36.0,193.0,,,,,-39.0,-43.0,-52.0,-46.0,-36.0,-8.0
138,6.0,Israel,ISR,282.0,9053300.0,6363.82,2020-03-27,536819.0,1.0,2020-05-22,2020-02-20,EPI_THIRD_WAVE,30514.620000000003,6.8693183700970915,16552.047319761856,-12.0,-14.0,5.0,-23.0,-12.0,,-7.0,7.0,-15.0,222.0,-10.0,-26.0,-10.0,6.0,90.0
139,6.0,Israel,ISR,2431.0,9053300.0,11126.019999999999,2020-06-03,4718115.0,2.0,2020-11-12,2020-05-22,EPI_THIRD_WAVE,30514.620000000003,6.8693183700970915,16552.047319761856,-12.0,-14.0,5.0,-23.0,-12.0,,-7.0,7.0,-15.0,222.0,-10.0,-26.0,-10.0,6.0,90.0
140,6.0,Israel,ISR,3490.0,9053300.0,9605.735,2020-11-13,9730102.0,3.0,2021-03-31,2020-11-12,EPI_THIRD_WAVE,30514.620000000003,6.8693183700970915,16552.047319761856,-12.0,-14.0,5.0,-23.0,-12.0,,-7.0,7.0,-15.0,222.0,-10.0,-26.0,-10.0,6.0,90.0
141,3.0,Italy,ITA,34833.0,60297396.0,10015.855,2020-02-26,,1.0,2020-07-04,2020-02-14,EPI_SECOND_WAVE,33696.85,18.13444812774336,8276.061705881959,-3.0,-3.0,-4.0,-3.0,-3.0,46.0,-3.0,-5.0,,441.0,-26.0,-1.0,13.0,37.0,140.0
142,3.0,Italy,ITA,74513.0,60297396.0,18718.485,2020-07-05,,2.0,2021-04-01,2020-07-04,EPI_SECOND_WAVE,33696.85,18.13444812774336,8276.061705881959,-3.0,-3.0,-4.0,-3.0,-3.0,46.0,-3.0,-5.0,,441.0,-26.0,-1.0,13.0,37.0,140.0
143,3.0,Jamaica,JAM,303.0,2948279.0,22783.079999999998,2020-06-06,140497.97674418605,1.0,2021-01-03,2020-01-09,EPI_SECOND_WAVE,33548.755000000005,2.021518316278751,961.8899703861134,-80.0,-85.0,,-87.0,-73.0,,-85.0,-85.0,-77.0,245.0,80.0,-68.0,-41.0,41.0,304.0
144,3.0,Jamaica,JAM,293.0,2948279.0,6301.949999999999,2021-01-12,,2.0,2021-04-01,2021-01-03,EPI_SECOND_WAVE,33548.755000000005,2.021518316278751,961.8899703861134,-80.0,-85.0,,-87.0,-73.0,,-85.0,-85.0,-77.0,245.0,80.0,-68.0,-41.0,41.0,304.0
145,3.0,Jordan,JOR,4262.0,10101694.0,23219.425,2020-07-04,,1.0,2021-01-28,2020-01-09,EPI_SECOND_WAVE,31410.614999999998,6.78896034665077,5858.579758998837,-108.0,-111.0,-108.0,-108.0,-108.0,-108.0,-108.0,-108.0,-111.0,248.0,12.0,119.0,119.0,119.0,119.0
146,3.0,Jordan,JOR,2596.0,10101694.0,4301.88,2021-01-30,,2.0,2021-04-01,2021-01-28,EPI_SECOND_WAVE,31410.614999999998,6.78896034665077,5858.579758998837,-108.0,-111.0,-108.0,-108.0,-108.0,-108.0,-108.0,-108.0,-111.0,248.0,12.0,119.0,119.0,119.0,119.0
147,6.0,Japan,JPN,874.0,126264931.0,4556.380000000001,2020-03-09,264914.2727272727,1.0,2020-05-29,2020-01-09,EPI_THIRD_WAVE,19079.025,0.7256171549327501,735.4155208780813,,-7.0,,274.0,,,,,288.0,,397.0,7.0,49.0,172.0,436.0
148,6.0,Japan,JPN,666.0,126264931.0,3659.0349999999994,2020-05-30,1477080.0,2.0,2020-09-26,2020-05-29,EPI_THIRD_WAVE,19079.025,0.7256171549327501,735.4155208780813,,-7.0,,274.0,,,,,288.0,,397.0,7.0,49.0,172.0,436.0
149,6.0,Japan,JPN,6444.0,126264931.0,6751.79,2020-09-29,6165110.0,3.0,2021-03-03,2020-09-26,EPI_THIRD_WAVE,19079.025,0.7256171549327501,735.4155208780813,,-7.0,,274.0,,,,,288.0,,397.0,7.0,49.0,172.0,436.0
150,3.0,Kazakhstan,KAZ,2106.0,18513930.0,17354.019999999997,2020-04-10,3045401.3943661973,1.0,2020-10-06,2020-01-09,EPI_SECOND_WAVE,33193.34,3.1932712287450586,4682.920914144107,-22.0,-25.0,-11.0,-29.0,-22.0,-22.0,-22.0,-23.0,-25.0,21.0,-17.0,-24.0,-12.0,16.0,104.0
151,3.0,Kazakhstan,KAZ,3806.0,18513930.0,11973.705,2020-10-11,,2.0,2021-04-01,2020-10-06,EPI_SECOND_WAVE,33193.34,3.1932712287450586,4682.920914144107,-22.0,-25.0,-11.0,-29.0,-22.0,-22.0,-22.0,-23.0,-25.0,21.0,-17.0,-24.0,-12.0,16.0,104.0
152,5.0,Kenya,KEN,648.0,52573973.0,15853.509999999998,2020-04-16,518341.0,1.0,2020-09-21,2020-01-09,EPI_THIRD_WAVE,31321.160000000003,0.409518223018831,231.05196938416657,-27.0,-32.0,,-34.0,-34.0,,-20.0,-20.0,-30.0,18.0,119.0,-8.0,36.0,161.0,
153,5.0,Kenya,KEN,1107.0,52573973.0,8381.335,2020-09-23,661223.388888889,2.0,2021-01-31,2020-09-21,EPI_THIRD_WAVE,31321.160000000003,0.409518223018831,231.05196938416657,-27.0,-32.0,,-34.0,-34.0,,-20.0,-20.0,-30.0,18.0,119.0,-8.0,36.0,161.0,
154,5.0,Kenya,KEN,398.0,52573973.0,3112.2599999999998,2021-02-02,,3.0,2021-04-01,2021-01-31,EPI_THIRD_WAVE,31321.160000000003,0.409518223018831,231.05196938416657,-27.0,-32.0,,-34.0,-34.0,,-20.0,-20.0,-30.0,18.0,119.0,-8.0,36.0,161.0,
155,4.0,Kyrgyzstan,KGZ,1063.0,6456900.0,15557.835000000001,2020-05-03,,1.0,2020-09-16,2020-01-09,EPI_SECOND_WAVE,28510.595,2.323096222645542,,-47.0,-48.0,-39.0,-52.0,-39.0,-39.0,-39.0,-39.0,-47.0,328.0,153.0,,,,
156,4.0,Kyrgyzstan,KGZ,413.0,6456900.0,8764.220000000001,2020-10-08,,2.0,2021-03-11,2020-09-16,EPI_SECOND_WAVE,28510.595,2.323096222645542,,-47.0,-48.0,-39.0,-52.0,-39.0,-39.0,-39.0,-39.0,-47.0,328.0,153.0,,,,
157,1.0,Cambodia,KHM,4.0,16486542.0,256.485,2021-03-28,,1.0,2021-04-01,2021-03-28,EPI_FIRST_WAVE,22750.894999999997,0.008491774685073438,,-355.0,-386.0,32.0,-386.0,-376.0,,-118.0,-353.0,,44.0,-47.0,59.0,59.0,59.0,
158,6.0,South Korea,KOR,255.0,51709098.0,5230.290000000003,2020-02-26,635080.947368421,1.0,2020-05-06,2020-01-09,EPI_THIRD_WAVE,26301.93,0.335530896323119,1476.8190309566025,24.0,-20.0,40.0,-5.0,38.0,,24.0,24.0,,-19.0,-15.0,-13.0,1.0,49.0,332.0
159,6.0,South Korea,KOR,166.0,51709098.0,7573.855,2020-05-23,1689143.0,2.0,2020-10-04,2020-05-06,EPI_THIRD_WAVE,26301.93,0.335530896323119,1476.8190309566025,24.0,-20.0,40.0,-5.0,38.0,,24.0,24.0,,-19.0,-15.0,-13.0,1.0,49.0,332.0
160,6.0,South Korea,KOR,1065.0,51709098.0,7207.689999999999,2020-10-11,3619151.666666667,3.0,2021-02-10,2020-10-04,EPI_THIRD_WAVE,26301.93,0.335530896323119,1476.8190309566025,24.0,-20.0,40.0,-5.0,38.0,,24.0,24.0,,-19.0,-15.0,-13.0,1.0,49.0,332.0
161,5.0,Kuwait,KWT,746.0,4207083.0,18559.37,2020-04-22,,1.0,2020-10-26,2020-01-09,EPI_THIRD_WAVE,32860.565,3.120927255297792,4888.108934385178,-42.0,-52.0,-16.0,-43.0,-42.0,-41.0,-31.0,-16.0,-40.0,164.0,-46.0,22.0,22.0,22.0,78.0
162,5.0,Kuwait,KWT,608.0,4207083.0,11477.759999999998,2020-05-24,613527.0,2.0,2020-10-26,2020-05-23,EPI_THIRD_WAVE,32860.565,3.120927255297792,4888.108934385178,-42.0,-52.0,-16.0,-43.0,-42.0,-41.0,-31.0,-16.0,-40.0,164.0,-46.0,22.0,22.0,22.0,78.0
163,5.0,Kuwait,KWT,567.0,4207083.0,10358.115,2020-10-28,,3.0,2021-04-01,2020-10-26,EPI_THIRD_WAVE,32860.565,3.120927255297792,4888.108934385178,-42.0,-52.0,-16.0,-43.0,-42.0,-41.0,-31.0,-16.0,-40.0,164.0,-46.0,22.0,22.0,22.0,78.0
