,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,MAX_SI,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,DEAD_PEAK_1,DEAD_PEAK_1_PER_10k,DEAD_PEAK_2,DEAD_PEAK_2_PER_10k,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,GOV_MAX_SI_DAYS_FROM_T0_POP,CLASS
43,CPV,Cape Verde,,EPI_FIRST_WAVE,549935.0,7072.0,128.5970160109831,75.0,1.3637975397092383,2020-03-22,2020-03-25,2020-06-03,2020-06-27,,87.96,,,,,,,2.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,50.93,,,,,,,,,,,,3,3,-9,54,,7,-5,-6,48.0,54.0,38,,,,,,,,,,,,38,1
44,CRI,Costa Rica,,EPI_FIRST_WAVE,5047561.0,87439.0,173.2301996944663,1076.0,2.1317226280177692,2020-03-14,2020-03-19,2020-04-21,2020-05-17,,81.48,,,,,,,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,62.96,,,,,,,,,,,,-2,25,-9,,2.0,,-2,-2,,-57.0,39,,,,,,,,,,,,39,1
45,CUB,Cuba,,EPI_SECOND_WAVE,11333483.0,5978.0,5.274636226127484,123.0,0.10852797855698906,2020-03-26,2020-03-19,2020-04-01,2020-04-08,123,100.0,"10484   NaN
10698   NaN
Name: dead, dtype: float64",,2.4285261390794313,0.002142788884122764,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,13.89,3.0,3.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,1.0,83.33,5,29,1,53,5.0,5,4,29,140.0,47.0,29,112.0,77.0,116.0,64.0,101.0,86.0,113.0,88.0,0.0,70.0,77,53,4
46,CUW,Curaçao,,,157538.0,583.0,37.0069443562823,1.0,0.06347674846703652,2020-03-13,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47,CYM,Cayman Islands,,,64948.0,221.0,34.027221777421936,1.0,0.15396932930960153,2020-03-20,2020-03-21,,,,94.44,,,,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,47.22,,,,,,,,,,,,-5,7,-8,7,7.0,3,4,-5,48.0,0.0,7,,,,,,,,,,,,26,0
48,CYP,Cyprus,,EPI_THIRD_WAVE,1198575.0,1986.0,16.569676490832865,25.0,0.2085810232985003,2020-03-12,2020-03-25,2020-03-28,2020-04-10,109,94.44,,,,,,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,92.59,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,92.59,-12,22,-15,-2,-1.0,-1,-1,-10,17.0,22.0,-1,69.0,18.0,106.0,59.0,77.0,58.0,58.0,86.0,78.0,73.0,58,22,5
49,CZE,Czech Republic,,EPI_FIRST_WAVE,10669709.0,117110.0,109.75931958406738,987.0,0.9250486587778542,2020-03-11,2020-03-23,2020-03-26,2020-03-29,,82.41,,,,,,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,82.41,,,,,,,,,,,,-12,-9,-12,0,,-8,-7,-7,,-22.0,0,,,,,,,,,,,,0,1
50,DEU,Germany,,EPI_SECOND_WAVE,83132799.0,322864.0,38.837138155302576,9615.0,1.1565832157293297,2020-03-07,2020-03-10,2020-03-13,2020-03-16,102,76.85,"11691   NaN
11873   NaN
Name: dead, dtype: float64",,213.95984054030896,0.02573711496713938,,,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,32.87,3.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,76.85,6,,0,11,,11,9,8,50.0,-48.0,,49.0,0.0,90.0,79.0,0.0,46.0,81.0,59.0,40.0,21.0,0,12,3
51,DJI,Djibouti,,EPI_FIRST_WAVE,973560.0,5423.0,55.70278154402399,61.0,0.6265664160401002,2020-03-26,2020-04-10,2020-05-19,2020-05-22,166,100.0,,,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,100.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,4.0,3.0,2.0,53.7,-22,-18,-18,-18,-19.0,-18,-18,-23,3.0,-23.0,-18,59.0,55.0,61.0,163.0,56.0,55.0,55.0,120.0,118.0,167.0,55,-18,2
52,DMA,Dominica,,,71808.0,32.0,4.45632798573975,0.0,0.0,2020-03-23,,,,,79.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,DNK,Denmark,,EPI_SECOND_WAVE,5818553.0,32422.0,55.72175762599395,669.0,1.1497703982416247,2020-03-08,2020-03-16,2020-03-20,2020-03-22,140,72.22,"12387   NaN
12557   NaN
Name: dead, dtype: float64",,13.986438707947954,0.024037658001822712,,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,65.74,3.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,72.22,-3,,,2,,,,-2,57.0,38.0,,33.0,0.0,0.0,51.0,0.0,0.0,0.0,72.0,58.0,77.0,0,2,3
54,DOM,Dominican Republic,,EPI_FIRST_WAVE,10738958.0,118477.0,110.32448399556084,2173.0,2.0234737858179535,2020-03-22,2020-03-21,2020-03-25,2020-03-26,210,97.22,"12677   NaN
12896   NaN
Name: dead, dtype: float64",,20.200992691722547,0.018810943009296196,,,3.0,3.0,2.0,0.0,2.0,1.0,2.0,4.0,0.0,1.0,81.48,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,78.7,-2,-2,-2,,-2.0,28,-1,-2,,,-1,196.0,62.0,196.0,0.0,62.0,144.0,195.0,104.0,0.0,0.0,74,38,2
55,DZA,Algeria,,EPI_FIRST_WAVE,43053054.0,53072.0,12.327116213404977,1801.0,0.4183210789181181,2020-03-24,2020-03-13,2020-03-18,2020-03-21,226,92.13,"12963   NaN
13023   NaN
Name: dead, dtype: float64",,17.210845339784413,0.003997589889856458,,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.56,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,2.0,74.07,-1,17,-3,17,10.0,10,10,4,,107.0,17,173.0,25.0,158.0,100.0,149.0,204.0,129.0,210.0,0.0,107.0,34,32,2
56,ECU,Ecuador,,EPI_SECOND_WAVE,17373662.0,147033.0,84.62982645800292,12191.0,7.016943232808374,2020-03-18,2020-03-14,2020-03-21,2020-03-23,89,93.52,"13249   NaN
13409   NaN
Name: dead, dtype: float64","13409   NaN
13456   NaN
Name: dead, dtype: float64",97.14402258515247,0.055914534647417725,275.76260739086865,0.1587245149530759,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.11,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,93.52,-1,3,-1,131,1.0,3,3,1,,,3,78.0,74.0,78.0,0.0,76.0,74.0,74.0,76.0,0.0,0.0,74,3,4
57,EGY,Egypt,,EPI_FIRST_WAVE,100388073.0,104387.0,10.398346823531517,6040.0,0.6016651001957175,2020-03-29,2020-03-09,2020-03-19,2020-03-23,235,84.26,"13532   NaN
13757   NaN
Name: dead, dtype: float64",,84.96838524709469,0.008463992056814825,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,71.3,6,,12,,16.0,16,16,10,,-24.0,16,84.0,0.0,206.0,0.0,74.0,74.0,202.0,104.0,0.0,236.0,74,16,2
58,ERI,Eritrea,,EPI_SECOND_WAVE,3213972.0,414.0,1.2881257210703765,0.0,0.0,2020-04-02,,,,80,96.3,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,93.52,,,,,,,,,,,,81.0,81.0,81.0,81.0,81.0,81.0,81.0,0.0,0.0,0.0,81,,3
59,ESH,Western Sahara,,EPI_FIRST_WAVE,,766.0,,1.0,,,2020-05-30,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
60,ESP,Spain,,EPI_SECOND_WAVE,47076781.0,861112.0,182.9164997496324,32929.0,6.994743332174729,2020-03-04,2020-03-05,2020-03-07,2020-03-10,119,85.19,"14194   NaN
14331   NaN
Name: dead, dtype: float64",,760.7948181961879,0.16160723015369038,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,85.19,4,25,5,25,,9,121,12,,-34.0,25,78.0,53.0,105.0,63.0,0.0,74.0,0.0,96.0,0.0,0.0,48,25,4
61,EST,Estonia,,EPI_SECOND_WAVE,1326590.0,3865.0,29.134849501353095,68.0,0.5125924362463158,2020-03-07,2020-03-26,2020-04-02,2020-04-03,128,77.78,,,,,,,3.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,61.11,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,0.0,77.78,-10,1,-14,-1,,3,-12,,,,,60.0,45.0,81.0,68.0,0.0,50.0,55.0,0.0,0.0,0.0,0,3,3
62,ETH,Ethiopia,,EPI_FIRST_WAVE,112078730.0,84295.0,7.5210523887984815,1287.0,0.11482999495087069,2020-05-25,2020-04-06,2020-05-10,2020-06-01,194,80.56,"14706   NaN
14915   NaN
Name: dead, dtype: float64",,19.021996739508076,0.0016971995256823552,,,3.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,68.52,3.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,80.56,-12,,-21,2,-7.0,,-11,,,,2,184.0,0.0,193.0,170.0,179.0,0.0,183.0,0.0,0.0,0.0,156,2,2
63,FIN,Finland,,EPI_SECOND_WAVE,5520314.0,11580.0,20.977067608835295,346.0,0.6267759406439561,2020-03-09,2020-03-22,2020-03-28,2020-03-30,142,62.96,"14988   NaN
15112   NaN
Name: dead, dtype: float64",,9.264828945812587,0.01678315571507814,,,2.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,60.19,2.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,62.96,,,-10,,,,6,-3,,,,0.0,0.0,100.0,0.0,0.0,0.0,18.0,56.0,0.0,0.0,0,6,3
64,FJI,Fiji,,,889953.0,32.0,0.3595695503020946,2.0,0.02247309689388091,2020-03-25,2020-08-01,,,,88.89,,,,,,,0.0,2.0,1.0,3.0,0.0,2.0,0.0,4.0,3.0,2.0,50.93,,,,,,,,,,,,-135,-135,-138,,-135.0,-135,-135,-125,-106.0,-135.0,-131,,,,,,,,,,,,-124,0
65,FLK,Falkland Islands,,,,13.0,,0.0,,,,,,,79.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,FRA,France,,EPI_FIRST_WAVE,67059887.0,734974.0,109.59964784909346,32730.0,4.880712071584612,2020-03-06,2020-02-15,2020-03-06,2020-03-08,,87.96,"15651   NaN
15820   NaN
Name: dead, dtype: float64",,843.0960107497789,0.12572284989829746,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.89,,,,,,,,,,,,16,31,14,14,,31,31,,161.0,86.0,31,,,,,,,,,,,,31,1
67,FRO,Faroe Islands,,EPI_SECOND_WAVE,48678.0,477.0,97.99087883643536,0.0,0.0,2020-03-06,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
68,GAB,Gabon,,EPI_FIRST_WAVE,2172579.0,8835.0,40.66595506998825,54.0,0.24855252674356146,2020-04-01,2020-03-21,2020-05-03,2020-05-15,213,81.48,,,,,,,3.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,2.0,0.0,66.67,0.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,69.44,-5,22,-8,-1,,20,20,-1,34.0,9.0,24,91.0,15.0,214.0,207.0,0.0,31.0,186.0,103.0,172.0,197.0,45,24,2
69,GBR,United Kingdom,,EPI_FIRST_WAVE,66834405.0,603716.0,90.3301226366869,42825.0,6.407627927562159,2020-03-08,2020-03-07,2020-03-11,2020-03-14,,79.63,"16394   NaN
16571   NaN
Name: dead, dtype: float64",,890.4657529980675,0.13323463461641763,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,,,,,,,,,,,,13,14,14,16,,16,16,,,86.0,,,,,,,,,,,,,16,1
70,GEO,Georgia,,EPI_FIRST_WAVE,3720382.0,11794.0,31.70104575282861,85.0,0.22847116236988568,2020-03-11,2020-04-06,2020-04-23,2020-05-09,,100.0,,,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,100.0,,,,,,,,,,,,-35,-18,-36,-16,-14.0,-14,-15,-19,,-40.0,-14,,,,,,,,,,,,-6,1
71,GGY,Guernsey,,EPI_FIRST_WAVE,,258.0,,13.0,,,2020-04-04,2020-04-09,2020-04-21,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
72,GHA,Ghana,,EPI_FIRST_WAVE,30417856.0,47005.0,15.453094392977599,306.0,0.10059880617489937,2020-04-02,2020-03-22,2020-03-29,2020-04-25,213,86.11,"17108   NaN
17321   NaN
Name: dead, dtype: float64",,3.71838813338453,0.0012224359709588112,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,52.78,2.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,52.78,-6,8,-6,,8.0,8,8,0,-1.0,-10.0,8,98.0,21.0,211.0,0.0,21.0,20.0,20.0,163.0,206.0,214.0,20,8,2
73,GIB,Gibraltar,,,33701.0,485.0,143.91264354173467,0.0,0.0,2020-03-20,,,,,79.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
74,GIN,Guinea,,EPI_SECOND_WAVE,12771246.0,11022.0,8.63032471538016,69.0,0.05402761797869996,2020-04-05,2020-04-16,2020-04-20,2020-05-06,108,78.7,,,,,,,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,78.7,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,78.7,-20,,-20,,,-17,-20,-20,,,,96.0,0.0,96.0,0.0,0.0,77.0,80.0,80.0,0.0,0.0,0,-17,4
75,GMB,Gambia,,EPI_FIRST_WAVE,2347706.0,3632.0,15.470420913010402,117.0,0.4983588234642668,2020-05-01,2020-03-24,2020-07-23,2020-08-05,202,78.7,"17748   NaN
17950   NaN
Name: dead, dtype: float64",,4.012669202894639,0.01709187267440914,,,3.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,2.0,1.0,56.48,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,77.78,-6,3,3,55,,135,,-1,,77.0,,152.0,60.0,185.0,148.0,0.0,68.0,0.0,203.0,0.0,126.0,0,3,2
76,GNB,Guinea-Bissau,,EPI_FIRST_WAVE,1920922.0,2385.0,12.4159127752194,40.0,0.20823333794917231,2020-04-04,2020-04-27,2020-05-20,2020-06-06,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
77,GNQ,Equatorial Guinea,,EPI_SECOND_WAVE,1355986.0,5063.0,37.338143609152304,83.0,0.6121007149041362,2020-03-24,2020-04-24,2020-05-14,2020-05-22,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
78,GRC,Greece,,EPI_FIRST_WAVE,10716322.0,22358.0,20.86350148866374,449.0,0.41898703678370247,2020-03-08,2020-03-12,2020-03-18,2020-03-22,,84.26,"18422   NaN
18551   NaN
Name: dead, dtype: float64",,4.11209057204168,0.0038372219237548856,,,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,,,,,,,,,,,,-7,,-12,6,,11,9,,103.0,79.0,11,,,,,,,,,,,,11,1
79,GRD,Grenada,,,112003.0,24.0,2.1427997464353634,0.0,0.0,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
80,GRL,Greenland,,,56225.0,16.0,2.845709204090707,0.0,0.0,2020-03-20,,,,,77.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,GTM,Guatemala,,EPI_FIRST_WAVE,16604026.0,97715.0,58.850184888893814,3384.0,2.0380599259480805,2020-04-09,2020-03-16,2020-04-13,2020-04-23,211,96.3,"19062   NaN
19272   NaN
Name: dead, dtype: float64",,37.95851945343045,0.022861033494786416,,,3.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,52.78,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,0.0,96.3,0,1,1,6,1.0,6,-10,33,,,1,199.0,132.0,198.0,205.0,132.0,193.0,187.0,153.0,0.0,0.0,185,33,2
82,GUM,Guam,,EPI_SECOND_WAVE,167294.0,3078.0,183.98747115855917,60.0,3.5865004124475472,2020-03-19,2020-03-22,2020-04-12,2020-08-28,180,79.63,,,,,,,3.0,3.0,2.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,67.59,3.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,79.63,-6,-2,-2,-2,20.0,146,,,46.0,72.0,,181.0,79.0,181.0,102.0,17.0,35.0,0.0,0.0,135.0,109.0,0,151,3
83,GUY,Guyana,,,782766.0,3469.0,44.31720335323711,103.0,1.3158466259392974,2020-03-16,2020-03-13,2020-04-07,2020-05-06,,87.04,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,25.0,,,,,,,,,,,,3,15,21,21,,21,21,14,,-1.0,21,,,,,,,,,,,,27,0
84,HND,Honduras,,EPI_FIRST_WAVE,9746117.0,84081.0,86.27128116766913,2512.0,2.577436737112842,2020-03-26,2020-03-27,2020-03-31,2020-04-01,191,100.0,"19695   NaN
19909   NaN
Name: dead, dtype: float64",,29.992196962151006,0.030773483390514403,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,100.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,96.3,-14,-7,-14,-11,-11.0,-11,-11,-6,,,-11,191.0,80.0,191.0,188.0,188.0,188.0,188.0,149.0,0.0,0.0,188,-6,2
85,HRV,Croatia,,EPI_FIRST_WAVE,4067500.0,20440.0,50.2519975414874,324.0,0.7965580823601721,2020-03-13,2020-03-25,2020-03-29,2020-04-05,,96.3,"19978   NaN
20082   NaN
Name: dead, dtype: float64",,2.5223537258632325,0.006201238416381641,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,96.3,,,,,,,,,,,,-12,-5,-15,-5,-4.0,-2,-2,-6,40.0,-51.0,-2,,,,,,,,,,,,-2,1
86,HTI,Haiti,,EPI_FIRST_WAVE,11263077.0,8882.0,7.885944489236822,230.0,0.2042070741414624,2020-04-21,2020-04-07,2020-04-24,2020-05-05,206,93.52,"20197   NaN
20403   NaN
Name: dead, dtype: float64",,2.405114630559177,0.0021353974855709296,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,0.0,90.74,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,80.56,-19,-19,-19,-19,-1.0,-19,-19,12,,,-19,143.0,31.0,144.0,74.0,57.0,144.0,122.0,72.0,0.0,0.0,95,12,2
87,HUN,Hungary,,EPI_FIRST_WAVE,9769949.0,38577.0,39.48536476495425,968.0,0.9907932989210076,2020-03-17,2020-03-16,2020-03-23,2020-03-25,,76.85,"20404   NaN
20545   NaN
Name: dead, dtype: float64",,12.192867826274252,0.012479970802584797,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,67.59,,,,,,,,,,,,-5,,-5,,,11,12,0,,-48.0,,,,,,,,,,,,,12,1
88,IDN,Indonesia,,EPI_FIRST_WAVE,270625568.0,333449.0,12.321415247800976,11844.0,0.4376526611114586,2020-03-31,2020-03-12,2020-03-16,2020-03-20,,80.09,,,,,,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,37.04,,,,,,,,,,,,-38,29,-9,26,,29,43,7,,,43,,,,,,,,,,,,43,1
89,IMN,Isle of Man,,EPI_FIRST_WAVE,84584.0,346.0,40.90608152842145,24.0,2.8374160597748985,2020-03-21,2020-04-03,2020-04-19,2020-04-22,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
90,IND,India,,EPI_FIRST_WAVE,1366417754.0,7120538.0,52.11098859887911,109150.0,0.7988040237363602,2020-04-11,2020-03-13,2020-03-23,2020-03-26,,100.0,,,,,,,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,33.33,,,,,,,,,,,,0,8,1,6,7.0,9,7,9,27.0,-42.0,9,,,,,,,,,,,,9,1
91,IRL,Ireland,,EPI_SECOND_WAVE,4941444.0,42528.0,86.06391168249604,1826.0,3.695276117669248,2020-03-10,2020-03-12,2020-03-24,2020-03-27,116,90.74,"21476   NaN
21648   NaN
Name: dead, dtype: float64",,49.34739212537767,0.09986431521914985,,,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,31.48,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,90.74,1,15,0,3,15.0,16,16,,,85.0,16,104.0,52.0,105.0,102.0,70.0,51.0,89.0,0.0,0.0,20.0,69,25,3
92,IRN,Iran,,EPI_SECOND_WAVE,82913906.0,500075.0,60.31256083870901,28544.0,3.442607082097905,2020-03-01,2020-02-20,2020-02-23,2020-02-25,77,61.57,"21741   NaN
21832   NaN
Name: dead, dtype: float64","21832   NaN
21939   NaN
Name: dead, dtype: float64",139.13969425047745,0.016781225365317783,211.35752084007646,0.02549120298832339,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,57.41,14,31,2,,,,14,,,87.0,,56.0,20.0,68.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0,162,3
93,IRQ,Iraq,,EPI_FIRST_WAVE,39309783.0,402330.0,102.34856803966585,9852.0,2.5062463458523796,2020-03-22,2020-03-06,2020-03-09,2020-03-18,243,96.3,"22028   NaN
22266   NaN
Name: dead, dtype: float64",,101.72240663985465,0.025877122404836132,,,3.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,52.78,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,73.15,-10,11,-10,-10,7.0,7,5,11,,,11,231.0,35.0,195.0,231.0,179.0,214.0,183.0,163.0,0.0,0.0,174,20,2
94,ISL,Iceland,,EPI_SECOND_WAVE,361313.0,3526.0,97.58851743502171,10.0,0.2767683421299538,2020-03-02,2020-03-20,2020-04-07,2020-04-21,76,53.7,,,,,,,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,53.7,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,53.7,,,-4,,,,,,-7.0,-11.0,,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,55.0,59.0,0,0,3
95,ISR,Israel,,EPI_FIRST_WAVE,9053300.0,291828.0,322.34433852849236,1983.0,2.1903615256315376,2020-03-10,2020-03-21,2020-03-26,2020-03-28,225,94.44,,,,,,,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,81.48,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,85.19,-8,11,-17,-6,,-1,13,-9,,-4.0,-1,76.0,43.0,181.0,76.0,0.0,145.0,131.0,157.0,0.0,92.0,70,18,2
