,class,country,countrycode,date_peak_1,date_peak_2,date_peak_3,dead_first_wave,duration_first_wave,duration_second_wave,duration_third_wave,first_wave_end,first_wave_start,last_confirmed,last_dead,last_tests,peak_1,peak_1_cfr,peak_1_dead_per_10k,peak_1_per_10k,peak_2,peak_2_cfr,peak_2_dead_per_10k,peak_2_per_10k,peak_3,peak_3_cfr,peak_3_dead_per_10k,peak_3_per_10k,population,second_wave_end,second_wave_start,t0,t0_10_dead,t0_1_dead,t0_5_dead,t0_relative,testing_available,tests_first_wave,third_wave_end,third_wave_start,dead_second_wave,tests_second_wave,dead_third_wave,tests_third_wave
51,7.0,Ecuador,ECU,2020-04-19,2020-08-07,2020-09-14,3221.0,145.0,338.0,245.0,2020-05-27,2020-01-03,380689.0,18552.0,,252.14285714285714,0.08978700709976337,0.011593904119268087,0.14512936716672464,881.0,0.09732660500554714,0.01808977947687219,0.5070894092448673,1357.857142857143,0.030745407645432918,0.031163756462429824,0.7815606996712281,17373662.0,2020-08-28,2020-05-27,2020-03-26,2020-04-02,2020-03-16,2020-03-20,2020-03-18,1.0,,2020-12-22,2020-08-28,3250.0,187616.0,7478.0,420025.0
52,3.0,Egypt,EGY,2020-06-11,,,5970.0,275.0,208.0,,2020-10-04,2020-01-03,226531.0,13278.0,,1381.2857142857142,0.0596265382113146,0.003614544357845606,0.13759460392129594,,,,,,,,,100388073.0,2021-04-30,2020-10-04,2020-04-05,2020-03-22,2020-03-08,2020-03-18,2020-03-28,0.0,,,,,,,
53,1.0,Eritrea,ERI,,,,,,,,2021-04-30,2021-03-24,3671.0,10.0,,,,,,,,,,,,,,3213972.0,,,2020-12-28,2021-03-24,2020-12-23,2021-01-09,2020-04-03,0.0,,,,,,,
54,6.0,Spain,ESP,2020-03-24,2020-10-27,2021-01-17,29539.0,121.0,319.0,146.0,2020-06-15,2020-02-15,3519613.0,78643.0,,5150.714285714285,0.11912578868479999,0.07380040946906957,1.0941092777168187,19392.571428571428,0.015708358765852887,0.04017752554977307,4.119349500249694,31693.0,0.01636363795883603,0.061267691907093524,6.732193520198418,47076781.0,2020-12-05,2020-06-15,2020-03-09,2020-03-09,2020-02-13,2020-03-07,2020-03-05,0.0,,2021-03-07,2020-12-05,19653.0,,25512.0,
55,3.0,Estonia,EST,2020-03-31,,,63.0,190.0,293.0,,2020-07-11,2020-01-03,122019.0,1158.0,,51.857142857142854,0.03149550064276532,0.0032306245981910653,0.3909055763811189,,,,,,,,,1326590.0,2021-04-30,2020-07-11,2020-04-05,2020-04-03,2020-03-26,2020-04-02,2020-03-07,1.0,,,,,,,
56,3.0,Ethiopia,ETH,2020-08-21,,,1901.0,359.0,124.0,,2020-12-27,2020-01-03,256418.0,3658.0,,1376.0,0.016602520297280356,0.0017972060481821254,0.12277084153255483,,,,,,,,,112078730.0,2021-04-30,2020-12-27,2020-05-31,2020-06-01,2020-04-06,2020-05-10,2020-05-25,1.0,,,,,,,
57,5.0,Finland,FIN,2020-04-05,2020-12-06,,328.0,153.0,293.0,120.0,2020-07-11,2020-02-09,86613.0,913.0,,94.85714285714286,0.045204726573234405,0.004140551218126878,0.17183287555226542,415.85714285714283,0.01060988775420599,0.005693257924924457,0.7533215372479588,,,,,5520314.0,2020-12-31,2020-07-11,2020-03-28,2020-03-30,2020-03-22,2020-03-28,2020-03-09,1.0,,2021-04-30,2020-12-31,228.0,2210975.0,,
58,0.0,Fiji,FJI,,,,,,,,,,116.0,2.0,,,,,,,,,,,,,,889953.0,,,,,2020-08-01,,2020-03-25,1.0,,,,,,,
59,5.0,France,FRA,2020-03-27,2020-11-02,,29590.0,126.0,311.0,152.0,2020-06-23,2020-02-18,5505700.0,103540.0,,2562.285714285714,0.19278148734497985,0.028183763566437266,0.38208917863009734,39043.857142857145,0.01466337412957828,0.04793157069121984,5.822237240402321,,,,,67059887.0,2020-11-29,2020-06-23,2020-03-09,2020-03-08,2020-02-15,2020-03-06,2020-03-06,1.0,,2021-04-30,2020-11-29,22176.0,,,
60,0.0,Faroe Islands,FRO,,,,,,,,,,663.0,1.0,,,,,,,,,,,,,,48678.0,,,,,2021-01-07,,2020-03-06,0.0,,,,,,,
