,class,country,countrycode,dead_during_wave,population,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
170,3.0,El Salvador,SLV,808.0,6453553.0,2020-05-01,2020-04-01,2020-04-09,1.0,2020-09-19,2020-03-25
171,3.0,El Salvador,SLV,294.0,6453553.0,2020-09-23,2020-09-20,2020-09-22,2.0,2020-11-27,2020-09-19
172,1.0,Somalia,SOM,112.0,15442905.0,2020-04-23,2020-04-10,2020-04-16,1.0,2020-11-27,2020-04-10
173,5.0,Serbia,SRB,245.0,6944975.0,2020-03-29,2020-03-21,2020-03-28,1.0,2020-06-03,2020-03-13
174,5.0,Serbia,SRB,486.0,6944975.0,2020-06-16,2020-06-05,2020-06-09,2.0,2020-09-13,2020-06-03
175,2.0,South Sudan,SSD,47.0,11062113.0,2020-05-30,2020-05-15,2020-05-20,1.0,2020-08-23,2020-04-24
176,2.0,Suriname,SUR,115.0,581372.0,2020-06-25,2020-04-04,2020-06-16,1.0,2020-11-21,2020-04-04
177,3.0,Slovakia,SVK,28.0,5454073.0,2020-04-19,2020-04-07,2020-04-16,1.0,2020-06-05,2020-03-13
178,3.0,Slovakia,SVK,721.0,5454073.0,2020-09-13,2020-08-01,2020-08-20,2.0,2020-11-27,2020-06-05
179,1.0,Slovenia,SVN,854.0,2087946.0,2020-03-30,2020-03-18,2020-03-27,1.0,2020-11-27,2020-03-18
180,3.0,Sweden,SWE,5721.0,10285453.0,2020-03-12,2020-03-12,2020-03-12,1.0,2020-07-28,2020-03-12
181,3.0,Sweden,SWE,884.0,10285453.0,2020-08-03,2020-07-29,2020-07-30,2.0,2020-11-27,2020-07-28
182,2.0,Swaziland,SWZ,117.0,1148130.0,2020-06-29,2020-04-18,2020-06-21,1.0,2020-11-03,2020-04-06
183,1.0,Syria,SYR,398.0,17070135.0,2020-07-04,2020-03-30,2020-06-02,1.0,2020-11-27,2020-03-30
184,1.0,Thailand,THA,59.0,69625582.0,2020-03-31,2020-03-01,2020-03-27,1.0,2020-11-27,2020-03-01
185,2.0,Tajikistan,TJK,66.0,9321018.0,2020-05-08,2020-05-04,2020-05-06,1.0,2020-08-30,2020-05-04
186,2.0,Trinidad and Tobago,TTO,110.0,1394973.0,2020-08-16,2020-03-26,2020-04-02,1.0,2020-11-11,2020-03-26
187,1.0,Tunisia,TUN,3033.0,11694719.0,2020-04-02,2020-03-21,2020-03-26,1.0,2020-11-27,2020-03-21
188,3.0,Turkey,TUR,4669.0,83429615.0,2020-03-22,2020-03-19,2020-03-21,1.0,2020-06-07,2020-03-18
189,3.0,Turkey,TUR,8345.0,83429615.0,2020-06-08,2020-06-08,2020-06-08,2.0,2020-11-27,2020-06-07
190,1.0,Uganda,UGA,190.0,44269594.0,2020-08-14,2020-07-25,2020-08-04,1.0,2020-11-27,2020-07-25
191,1.0,Ukraine,UKR,11715.0,44385155.0,2020-03-31,2020-03-19,2020-03-27,1.0,2020-11-27,2020-03-19
192,1.0,Uruguay,URY,73.0,3461734.0,2020-04-20,2020-03-30,2020-04-05,1.0,2020-11-27,2020-03-30
193,1.0,United States,USA,263454.0,328239523.0,2020-03-05,2020-03-01,2020-03-03,1.0,2020-11-27,2020-03-01
194,2.0,Uzbekistan,UZB,338.0,33580650.0,2020-05-04,2020-03-29,2020-04-19,1.0,2020-09-05,2020-03-22
195,2.0,Venezuela,VEN,342.0,28515829.0,2020-04-22,2020-03-27,2020-04-05,1.0,2020-08-27,2020-03-27
196,3.0,Kosovo,XKO,629.0,,2020-04-17,2020-03-23,2020-04-08,1.0,2020-10-06,2020-03-23
197,3.0,Kosovo,XKO,333.0,,2020-10-10,2020-10-07,2020-10-07,2.0,2020-11-27,2020-10-06
198,2.0,South Africa,ZAF,16866.0,58558270.0,2020-04-06,2020-03-27,2020-04-01,1.0,2020-10-02,2020-03-12
199,2.0,Zambia,ZMB,352.0,17861030.0,2020-06-09,2020-04-03,2020-05-10,1.0,2020-11-16,2020-04-03
200,2.0,Zimbabwe,ZWE,227.0,14645468.0,2020-07-10,2020-03-24,2020-06-21,1.0,2020-10-03,2020-03-24
