,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,MAX_SI,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,EPI_DURATION_SECOND_WAVE,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
59,ESH,Western Sahara,,EPI_OTHER,,766.0,,1.0,,,,2020-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
60,ESP,Spain,25,EPI_SECOND_WAVE,47076781.0,1648187.0,350.1061383105187,45069.0,9.573509284757597,85.19,2020-03-04,2020-03-05,2020-03-07,2020-03-10,75,205.0,26478.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,85.19,4,25,5,25,,9,121,12,,-34.0,9,62.0,41.0,61.0,41.0,0.0,57.0,0.0,54.0,0.0,0.0,57,3
61,EST,Estonia,3,EPI_SECOND_WAVE,1326590.0,12052.0,90.84947120059702,112.0,0.8442698949939318,77.78,2020-03-07,2020-03-26,2020-04-02,2020-04-03,122,155.0,63.0,,3.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,61.11,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,0.0,77.78,-10,1,-14,-1,,3,-12,,,,-1,60.0,45.0,81.0,68.0,0.0,50.0,55.0,0.0,0.0,0.0,51,3
62,ETH,Ethiopia,2,EPI_FIRST_WAVE,112078730.0,109534.0,9.772951567170685,1700.0,0.15167909200969712,80.56,2020-05-25,2020-04-06,2020-05-10,2020-06-01,226,,1537.0,,3.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,68.52,3.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,80.56,-12,,-21,2,-7.0,,-11,,,218.0,-11,203.0,0.0,203.0,180.0,211.0,0.0,227.0,0.0,0.0,2.0,203,2
63,FIN,Finland,5,EPI_SECOND_WAVE,5520314.0,24629.0,44.615215728670506,393.0,0.71191602506669,67.59,2020-03-09,2020-03-22,2020-03-28,2020-03-30,142,136.0,328.0,,2.0,1.0,2.0,4.0,0.0,1.0,1.0,4.0,1.0,1.0,64.81,2.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,1.0,1.0,67.59,,,-10,-6,,,5,-6,,,-4,0.0,0.0,103.0,29.0,0.0,0.0,24.0,59.0,0.0,0.0,57,3
64,FJI,Fiji,-124,EPI_OTHER,889953.0,42.0,0.4719350347714992,2.0,0.02247309689388091,88.89,2020-03-25,2020-08-01,,,,,,,1.0,2.0,1.0,3.0,0.0,2.0,0.0,4.0,3.0,2.0,54.63,,,,,,,,,,,,-135,-135,-138,,-135.0,-135,-135,-125,-106.0,-135.0,-135,,,,,,,,,,,,0
65,FLK,Falkland Islands,,EPI_OTHER,,17.0,,0.0,,79.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,FRA,France,31,EPI_SECOND_WAVE,67059887.0,2218483.0,330.8211658632828,52325.0,7.802727135522909,87.96,2020-03-06,2020-02-15,2020-03-06,2020-03-08,103,186.0,28595.0,20170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,11.11,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,87.96,16,31,14,14,,31,31,,161.0,86.0,31,70.0,55.0,90.0,90.0,0.0,55.0,73.0,0.0,0.0,18.0,73,4
67,FRO,Faroe Islands,,EPI_OTHER,48678.0,502.0,103.12666913184601,0.0,0.0,57.41,2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,GAB,Gabon,24,EPI_FIRST_WAVE,2172579.0,9191.0,42.30456061666803,59.0,0.2715666495901875,81.48,2020-04-01,2020-03-21,2020-05-03,2020-05-15,118,,45.0,,3.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,2.0,0.0,66.67,2.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,76.85,-5,22,-8,-1,,20,20,-1,34.0,9.0,-1,86.0,15.0,119.0,119.0,0.0,31.0,99.0,102.0,85.0,110.0,119,2
69,GBR,United Kingdom,16,EPI_SECOND_WAVE,66834405.0,1617327.0,241.99018454641737,58245.0,8.714822852092421,79.63,2020-03-08,2020-03-07,2020-03-11,2020-03-14,158,124.0,41135.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,3.0,3.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,79.63,13,14,14,16,,16,16,,,86.0,16,101.0,51.0,131.0,129.0,0.0,71.0,105.0,0.0,0.0,59.0,129,3
70,GEO,Georgia,-6,EPI_FIRST_WAVE,3720382.0,135584.0,364.43569504421856,1267.0,3.405564267325237,100.0,2020-03-11,2020-04-06,2020-04-23,2020-05-09,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,100.0,,,,,,,,,,,,-35,-18,-36,-16,-14.0,-14,-15,-19,,-40.0,-16,,,,,,,,,,,,1
71,GGY,Guernsey,,EPI_OTHER,,286.0,,13.0,,,,2020-04-04,2020-04-09,2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,GHA,Ghana,8,EPI_FIRST_WAVE,30417856.0,51569.0,16.953528874618907,323.0,0.10618762874017157,86.11,2020-04-02,2020-03-22,2020-03-29,2020-04-25,200,,302.0,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,52.78,2.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,2.0,52.78,-6,8,-6,,8.0,8,8,0,-1.0,-10.0,8,92.0,21.0,201.0,0.0,21.0,20.0,20.0,163.0,201.0,201.0,57,2
73,GIB,Gibraltar,-233,EPI_OTHER,33701.0,1014.0,300.8812794872556,5.0,1.4836355004302544,79.63,2020-03-20,2020-11-12,2020-11-24,,,,,,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,,,,,,,,,,,,,-239,-233,-240,-233,-244.0,-240,,,-129.0,-254.0,-240,,,,,,,,,,,,0
74,GIN,Guinea,-17,EPI_FIRST_WAVE,12771246.0,13039.0,10.209653780061867,76.0,0.05950868067219126,78.7,2020-04-05,2020-04-16,2020-04-20,2020-05-06,220,,71.0,,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,78.7,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,70.83,-20,,-20,,,-17,-20,-20,,222.0,-20,139.0,0.0,188.0,0.0,0.0,211.0,202.0,112.0,0.0,0.0,179,2
75,GMB,Gambia,3,EPI_FIRST_WAVE,2347706.0,3734.0,15.904887579620276,123.0,0.5239156862060241,78.7,2020-05-01,2020-03-24,2020-07-23,2020-08-05,232,,120.0,,3.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,2.0,1.0,56.48,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,77.78,-6,3,3,55,,135,,-1,,77.0,3,128.0,60.0,215.0,178.0,0.0,67.0,0.0,206.0,0.0,156.0,200,2
76,GNB,Guinea-Bissau,,EPI_FIRST_WAVE,1920922.0,2422.0,12.608528612822385,43.0,0.22385083829536026,,2020-04-04,2020-04-27,2020-05-20,2020-06-06,94,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
77,GNQ,Equatorial Guinea,,EPI_OTHER,1355986.0,5153.0,38.00186727591583,85.0,0.6268501297211033,,2020-03-24,2020-04-24,2020-05-14,2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
78,GRC,Greece,11,EPI_SECOND_WAVE,10716322.0,104227.0,97.26004873687073,2321.0,2.1658550386970457,84.26,2020-03-08,2020-03-12,2020-03-18,2020-03-22,99,179.0,179.0,,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,84.26,-7,,-12,6,,11,9,,103.0,79.0,6,67.0,0.0,97.0,48.0,0.0,68.0,70.0,0.0,0.0,6.0,75,3
79,GRD,Grenada,,EPI_OTHER,112003.0,41.0,3.6606162334937458,0.0,0.0,,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
80,GRL,Greenland,,EPI_OTHER,56225.0,18.0,3.2014228546020456,0.0,0.0,77.78,2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,GTM,Guatemala,33,EPI_FIRST_WAVE,16604026.0,121971.0,73.45869007914105,4166.0,2.50903003885925,96.3,2020-04-09,2020-03-16,2020-04-13,2020-04-23,146,,2196.0,,3.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,52.78,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,0.0,96.3,0,1,1,6,1.0,6,-10,33,,,1,147.0,132.0,146.0,141.0,132.0,141.0,147.0,114.0,0.0,0.0,146,2
82,GUM,Guam,151,EPI_FIRST_WAVE,167294.0,6818.0,407.54599686778965,112.0,6.694800769902089,79.63,2020-03-19,2020-03-22,2020-04-12,2020-08-28,252,,111.0,,3.0,3.0,2.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,67.59,2.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,3.0,2.0,62.96,-6,-2,-2,-2,20.0,146,,,46.0,72.0,-2,221.0,85.0,253.0,174.0,17.0,41.0,0.0,0.0,207.0,181.0,253,2
83,GUY,Guyana,27,EPI_FIRST_WAVE,782766.0,5376.0,68.67952874805498,150.0,1.9162814940863553,87.04,2020-03-16,2020-03-13,2020-04-07,2020-05-06,233,,123.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,25.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,79.17,3,15,21,21,,21,21,14,,-1.0,21,138.0,12.0,213.0,200.0,0.0,197.0,200.0,199.0,0.0,234.0,213,2
84,HND,Honduras,-6,EPI_FIRST_WAVE,9746117.0,107888.0,110.69844533982098,2909.0,2.9847784507409463,100.0,2020-03-26,2020-03-27,2020-03-31,2020-04-01,169,,2057.0,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,100.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,82.41,-14,-7,-14,-11,-11.0,-11,-11,-6,,,-11,170.0,73.0,170.0,170.0,170.0,170.0,170.0,143.0,0.0,0.0,170,2
85,HRV,Croatia,-2,EPI_SECOND_WAVE,4067500.0,126612.0,311.27719729563614,1712.0,4.208973570989551,96.3,2020-03-13,2020-03-25,2020-03-29,2020-04-05,103,176.0,104.0,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,96.3,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,96.3,-12,-5,-15,-5,-4.0,-2,-2,-6,40.0,-51.0,-5,59.0,38.0,77.0,52.0,51.0,49.0,63.0,70.0,35.0,104.0,67,3
86,HTI,Haiti,12,EPI_FIRST_WAVE,11263077.0,9264.0,8.225105803680469,232.0,0.20598278782964904,93.52,2020-04-21,2020-04-07,2020-04-24,2020-05-05,210,,232.0,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,0.0,90.74,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,80.56,-19,-19,-19,-19,-1.0,-19,-19,12,,,-19,126.0,14.0,148.0,88.0,57.0,148.0,105.0,72.0,0.0,0.0,105,2
87,HUN,Hungary,12,EPI_SECOND_WAVE,9769949.0,217122.0,222.23452752926346,4823.0,4.936566199066136,76.85,2020-03-17,2020-03-16,2020-03-23,2020-03-25,102,161.0,572.0,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,67.59,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,76.85,0,,-5,239,,11,12,0,,-48.0,0,78.0,0.0,99.0,0.0,0.0,52.0,37.0,49.0,0.0,103.0,95,3
88,IDN,Indonesia,43,EPI_FIRST_WAVE,270625568.0,534266.0,19.741889280764486,16815.0,0.6213381878241453,80.09,2020-03-31,2020-03-12,2020-03-16,2020-03-20,,,,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,37.04,,,,,,,,,,,,-38,29,-9,26,,29,43,7,,,26,,,,,,,,,,,,1
89,IMN,Isle of Man,,EPI_OTHER,84584.0,369.0,43.625271919039065,25.0,2.9556417289321857,,2020-03-21,2020-04-03,2020-04-19,2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
90,IND,India,9,EPI_FIRST_WAVE,1366417754.0,9431691.0,69.02494476809909,137139.0,1.0036388915362409,100.0,2020-04-11,2020-03-13,2020-03-23,2020-03-26,,,,,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,33.33,,,,,,,,,,,,0,8,1,6,7.0,9,7,9,27.0,-42.0,7,,,,,,,,,,,,1
91,IRL,Ireland,25,EPI_SECOND_WAVE,4941444.0,72241.0,146.19410844279525,2052.0,4.152632307479352,90.74,2020-03-10,2020-03-12,2020-03-24,2020-03-27,119,156.0,1730.0,322.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,31.48,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,90.74,1,15,0,3,15.0,16,16,,,85.0,15,105.0,52.0,106.0,103.0,70.0,51.0,90.0,0.0,0.0,23.0,91,4
92,IRN,Iran,249,EPI_FIRST_WAVE,82913906.0,948749.0,114.42579969637421,47875.0,5.774061591067728,70.83,2020-03-01,2020-02-20,2020-02-23,2020-02-25,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,,,,,,,,,,,,14,31,2,229,249.0,229,14,,,87.0,162,,,,,,,,,,,,1
93,IRQ,Iraq,20,EPI_FIRST_WAVE,39309783.0,550435.0,140.024939847671,12224.0,3.109658478654029,96.3,2020-03-22,2020-03-06,2020-03-09,2020-03-18,,,,,3.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,52.78,,,,,,,,,,,,-10,11,-10,-10,7.0,7,5,11,,,5,,,,,,,,,,,,1
94,ISL,Iceland,0,EPI_SECOND_WAVE,361313.0,5381.0,148.92904490012813,26.0,0.71959768953788,53.7,2020-03-02,2020-03-20,2020-04-07,2020-04-21,100,176.0,10.0,15.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,53.7,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,53.7,,,-4,225,,,,,-7.0,-11.0,,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,87.0,91.0,0,4
95,ISR,Israel,18,EPI_SECOND_WAVE,9053300.0,335980.0,371.11329570432883,2864.0,3.163487347155181,94.44,2020-03-10,2020-03-21,2020-03-26,2020-03-28,93,190.0,279.0,1707.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,2.0,81.48,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,90.74,-8,11,-17,-6,,-1,13,-9,228.0,-4.0,-6,51.0,25.0,82.0,51.0,0.0,66.0,52.0,74.0,0.0,69.0,71,4
96,ITA,Italy,49,EPI_SECOND_WAVE,60297396.0,1585178.0,262.89327651893956,54904.0,9.105534175970053,93.52,2020-02-26,2020-02-23,2020-02-25,2020-02-26,134,149.0,34833.0,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,2.0,69.91,3.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,91.67,0,-1,0,0,49.0,0,-2,,,-23.0,0,133.0,72.0,133.0,85.0,22.0,71.0,88.0,0.0,0.0,135.0,100,3
97,JAM,Jamaica,28,EPI_FIRST_WAVE,2948279.0,10709.0,36.322885317163,256.0,0.8683031694083226,87.04,2020-03-19,2020-03-25,2020-04-15,2020-06-05,232,,224.0,,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,1.0,1.0,75.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,75.0,-12,,-14,0,,-12,-12,-4,,153.0,-7,141.0,0.0,233.0,67.0,0.0,226.0,233.0,82.0,0.0,80.0,233,2
98,JEY,Jersey,,EPI_OTHER,,928.0,,32.0,,,,2020-03-27,2020-04-16,2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
99,JOR,Jordan,-11,EPI_FIRST_WAVE,10101694.0,214307.0,212.14956620147078,2694.0,2.6668794362608885,100.0,2020-03-19,2020-03-29,2020-03-31,2020-07-04,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,100.0,,,,,,,,,,,,-14,-11,-11,-11,-11.0,-11,-11,-14,,109.0,-11,,,,,,,,,,,,1
100,JPN,Japan,63,EPI_THIRD_WAVE,126264931.0,146760.0,11.6231798360544,2119.0,0.16782173666257338,47.22,2020-03-13,2020-02-13,2020-03-01,2020-03-11,107,185.0,874.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,19.44,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,45.37,18,,,,,,,,278.0,278.0,,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
101,KAZ,Kazakhstan,0,EPI_SECOND_WAVE,18513930.0,173806.0,93.87850121503106,2433.0,1.3141456190014762,92.13,2020-03-27,2020-03-30,2020-04-06,2020-04-11,100,145.0,263.0,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,92.13,3.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,83.33,-14,0,-18,-11,-11.0,-11,-12,-14,32.0,-6.0,-11,101.0,42.0,101.0,101.0,97.0,97.0,67.0,101.0,69.0,101.0,101,3
102,KEN,Kenya,10,EPI_SECOND_WAVE,52573973.0,83316.0,15.84738516908357,1452.0,0.2761822851014132,88.89,2020-04-20,2020-03-27,2020-04-08,2020-04-16,183,70.0,648.0,,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,87.04,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,73.15,-12,,-14,-14,,0,0,-10,38.0,139.0,-7,184.0,0.0,184.0,124.0,0.0,158.0,123.0,132.0,141.0,40.0,184,3
103,KGZ,Kyrgyzstan,-8,EPI_SECOND_WAVE,6456900.0,72807.0,112.75844445476932,1271.0,1.9684368659883225,92.13,2020-03-25,2020-04-02,2020-04-10,2020-05-03,172,76.0,1063.0,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,92.13,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,76.39,-17,-8,-21,-8,-8.0,-8,-8,-16,,184.0,-16,158.0,34.0,173.0,173.0,173.0,173.0,173.0,114.0,0.0,0.0,173,3
104,KHM,Cambodia,,EPI_OTHER,16486542.0,323.0,0.19591737309133717,0.0,0.0,68.52,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
105,KNA,Saint Kitts and Nevis,,EPI_OTHER,52823.0,22.0,4.164852431705886,0.0,0.0,,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
106,KOR,South Korea,45,EPI_THIRD_WAVE,51709098.0,34201.0,6.614116533225933,526.0,0.10172291150775827,82.41,2020-02-22,2020-02-21,2020-02-23,2020-02-26,108,208.0,255.0,157.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,45.37,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,55.56,-15,45,0,43,,29,29,,-14.0,-10.0,29,91.0,14.0,59.0,16.0,0.0,28.0,28.0,0.0,90.0,86.0,30,5
107,KWT,Kuwait,35,EPI_FIRST_WAVE,4207083.0,142426.0,338.5386026375044,878.0,2.086956687091745,100.0,2020-02-27,2020-04-05,2020-04-18,2020-04-22,,,,,3.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0,2.0,2.0,81.48,,,,,,,,,,,,-35,1,-26,-25,-24.0,-14,1,-23,181.0,-29.0,-25,,,,,,,,,,,,1
108,LAO,Laos,,EPI_OTHER,7169455.0,39.0,0.05439744025173462,0.0,0.0,96.3,2020-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
109,LBN,Lebanon,248,EPI_FIRST_WAVE,6855713.0,126944.0,185.16527748463216,1004.0,1.4644720395967568,87.04,2020-03-10,2020-03-11,2020-03-27,2020-03-30,,,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,37.96,,,,,,,,,,,,-11,7,7,7,248.0,7,163,5,,,7,,,,,,,,,,,,1
110,LBR,Liberia,7,EPI_OTHER,4937374.0,1595.0,3.230462184959049,83.0,0.16810555570633295,87.96,2020-04-09,2020-04-05,2020-04-12,2020-04-26,,,,,3.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,79.63,,,,,,,,,,,,-19,7,-14,-14,,-15,-15,60,148.0,,-14,,,,,,,,,,,,0
111,LBY,Libya,14,EPI_FIRST_WAVE,6777452.0,82430.0,121.62387870839956,1166.0,1.7204105613732121,100.0,2020-04-15,2020-04-03,2020-05-29,2020-06-16,,,,,3.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,90.74,,,,,,,,,,,,-19,13,-20,-12,-12.0,-12,-12,-18,,,-12,,,,,,,,,,,,1
112,LCA,Saint Lucia,,EPI_OTHER,182790.0,257.0,14.059850101209038,2.0,0.10941517588489523,,2020-03-15,2020-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
113,LIE,Liechtenstein,,EPI_OTHER,38019.0,1273.0,334.83258370814593,15.0,3.945395723191036,,2020-03-05,2020-04-05,2020-11-17,2020-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
114,LKA,Sri Lanka,-2,EPI_FIRST_WAVE,21803000.0,23484.0,10.770994817226986,116.0,0.053203687565931294,100.0,2020-03-29,2020-03-29,2020-04-05,2020-05-26,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,100.0,,,,,,,,,,,,-11,-13,-15,-15,-6.0,-11,-11,-10,,-52.0,-13,,,,,,,,,,,,1
115,LSO,Lesotho,-103,EPI_OTHER,2125268.0,2109.0,9.923454359638407,44.0,0.20703271305077758,90.74,2020-06-24,2020-07-10,2020-07-19,2020-07-27,,,,,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,54.63,,,,,,,,,,,,-114,-103,-114,-114,,-114,-114,-103,,,-114,,,,,,,,,,,,0
116,LTU,Lithuania,20,EPI_SECOND_WAVE,2786844.0,61325.0,220.05178617820013,506.0,1.8156739307977052,87.04,2020-03-16,2020-03-21,2020-03-28,2020-04-06,125,152.0,78.0,,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,81.48,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,0.0,81.48,-5,-5,-9,-5,,,20,-5,,17.0,-5,63.0,42.0,81.0,77.0,0.0,0.0,4.0,56.0,0.0,86.0,77,3
