,class,confirmed_during_wave,country,countrycode,dead_during_wave,first_date_c1_above_threshold,first_date_c2_above_threshold,first_date_c3_above_threshold,first_date_c4_above_threshold,first_date_c5_above_threshold,first_date_c6_above_threshold,first_date_c7_above_threshold,first_date_c8_above_threshold,first_date_h2_above_threshold,first_date_h3_above_threshold,first_date_si_above_threshold,population,response_time_t0_10_dead,response_time_t0_1_dead,response_time_t0_5_dead,si_at_t0_10_dead,si_at_t0_1_dead,si_at_t0_5_dead,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
99,3.0,50775.0,Kazakhstan,KAZ,263.0,2020-03-16,2020-03-30,2020-03-12,2020-03-19,2020-03-19,2020-03-19,2020-03-18,2020-03-16,2020-05-01,2020-03-24,2020-03-19,18513930.0,,,,92.13,92.13,92.13,2020-04-11,2020-03-30,2020-04-06,1.0,2020-07-08,2020-03-30
100,3.0,119910.0,Kazakhstan,KAZ,2165.0,2020-03-16,2020-03-30,2020-03-12,2020-03-19,2020-03-19,2020-03-19,2020-03-18,2020-03-16,2020-05-01,2020-03-24,2020-03-19,18513930.0,,,,83.33,83.33,83.33,2020-07-13,2020-07-13,2020-07-13,2.0,2020-11-27,2020-07-08
101,3.0,36974.0,Kenya,KEN,648.0,2020-03-15,,2020-03-13,2020-03-13,,2020-03-27,2020-03-27,2020-03-17,2020-05-04,2020-08-13,2020-03-17,52573973.0,,,,88.89,87.04,88.89,2020-04-16,2020-03-27,2020-04-08,1.0,2020-09-21,2020-03-22
102,3.0,43121.0,Kenya,KEN,779.0,2020-03-15,,2020-03-13,2020-03-13,,2020-03-27,2020-03-27,2020-03-17,2020-05-04,2020-08-13,2020-03-17,52573973.0,,,,71.3,71.3,71.3,2020-09-23,2020-09-22,2020-09-23,2.0,2020-11-27,2020-09-21
103,3.0,44884.0,Kyrgyzstan,KGZ,1063.0,2020-03-16,2020-03-25,2020-03-12,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-17,,2020-10-03,2020-03-17,6456900.0,,,,88.43,92.13,92.13,2020-05-03,2020-04-02,2020-04-10,1.0,2020-09-15,2020-03-27
104,3.0,26620.0,Kyrgyzstan,KGZ,193.0,2020-03-16,2020-03-25,2020-03-12,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-17,,2020-10-03,2020-03-17,6456900.0,,,,67.13,67.13,67.13,2020-10-09,2020-09-28,2020-10-08,2.0,2020-11-27,2020-09-15
105,5.0,10806.0,South Korea,KOR,255.0,2020-02-06,2020-04-06,2020-02-21,2020-04-04,,2020-03-21,2020-03-21,,2020-02-07,2020-02-11,2020-03-21,51709098.0,,,,55.56,45.37,50.0,2020-02-26,2020-02-21,2020-02-23,1.0,2020-05-06,2020-01-19
106,5.0,13002.0,South Korea,KOR,157.0,2020-02-06,2020-04-06,2020-02-21,2020-04-04,,2020-03-21,2020-03-21,,2020-02-07,2020-02-11,2020-03-21,51709098.0,,,,39.81,43.52,43.52,2020-05-23,2020-05-12,2020-05-16,2.0,2020-10-01,2020-05-07
107,1.0,141068.0,Kuwait,KWT,871.0,2020-03-01,2020-04-06,2020-03-10,2020-03-11,2020-03-12,2020-03-22,2020-04-06,2020-03-13,2020-10-03,2020-03-07,2020-03-11,4207083.0,,,,88.89,81.48,93.52,2020-04-22,2020-04-05,2020-04-18,1.0,2020-11-27,2020-04-05
108,1.0,122159.0,Lebanon,LBN,973.0,2020-02-29,2020-03-18,2020-03-18,2020-03-18,2020-11-14,2020-03-18,2020-08-21,2020-03-16,,,2020-03-18,6855713.0,,,,85.19,37.96,85.19,2020-03-30,2020-03-11,2020-03-27,1.0,2020-11-27,2020-03-11
