"COUNTRYCODE","CLASS","t","stringency_index"
"ALB",1,-64,84.26
"ALB",1,-63,84.26
"ALB",1,-62,84.26
"ALB",1,-61,84.26
"ALB",1,-60,84.26
"ALB",1,-59,84.26
"ALB",1,-58,84.26
"ALB",1,-57,84.26
"ALB",1,-56,84.26
"ALB",1,-55,84.26
"ALB",1,-54,84.26
"ALB",1,-53,84.26
"ALB",1,-52,84.26
"ALB",1,-51,84.26
"ALB",1,-50,84.26
"ALB",1,-49,84.26
"ALB",1,-48,84.26
"ALB",1,-47,84.26
"ALB",1,-46,84.26
"ALB",1,-45,84.26
"ALB",1,-44,84.26
"ALB",1,-43,84.26
"ALB",1,-42,84.26
"ALB",1,-41,84.26
"ALB",1,-40,84.26
"ALB",1,-39,84.26
"ALB",1,-38,89.81
"ALB",1,-37,89.81
"ALB",1,-36,89.81
"ALB",1,-35,89.81
"ALB",1,-34,89.81
"ALB",1,-33,89.81
"ALB",1,-32,89.81
"ALB",1,-31,89.81
"ALB",1,-30,89.81
"ALB",1,-29,89.81
"ALB",1,-28,89.81
"ALB",1,-27,89.81
"ALB",1,-26,89.81
"ALB",1,-25,89.81
"ALB",1,-24,89.81
"ALB",1,-23,89.81
"ALB",1,-22,89.81
"ALB",1,-21,89.81
"ALB",1,-20,89.81
"ALB",1,-19,89.81
"ALB",1,-18,89.81
"ALB",1,-17,89.81
"ALB",1,-16,89.81
"ALB",1,-15,89.81
"ALB",1,-14,89.81
"ALB",1,-13,89.81
"ALB",1,-12,89.81
"ALB",1,-11,89.81
"ALB",1,-10,89.81
"ALB",1,-9,89.81
"ALB",1,-8,83.33
"ALB",1,-7,83.33
"ALB",1,-6,83.33
"ALB",1,-5,83.33
"ALB",1,-4,83.33
"ALB",1,-3,83.33
"ALB",1,-2,83.33
"ALB",1,-1,83.33
"ALB",1,0,86.11
"ALB",1,1,86.11
"ALB",1,2,86.11
"ALB",1,3,86.11
"ALB",1,4,86.11
"ALB",1,5,86.11
"ALB",1,6,67.59
"ALB",1,7,67.59
"ALB",1,8,67.59
"ALB",1,9,67.59
"ALB",1,10,67.59
"ALB",1,11,67.59
"ALB",1,12,67.59
"ALB",1,13,67.59
"ALB",1,14,67.59
"ALB",1,15,67.59
"ALB",1,16,67.59
"ALB",1,17,67.59
"ALB",1,18,67.59
"ALB",1,19,67.59
"ALB",1,20,67.59
"ALB",1,21,67.59
"ALB",1,22,67.59
"ALB",1,23,67.59
"ALB",1,24,67.59
"ALB",1,25,67.59
"ALB",1,26,67.59
"ALB",1,27,64.81
"ALB",1,28,64.81
"ALB",1,29,64.81
"ALB",1,30,64.81
"ALB",1,31,64.81
"ALB",1,32,64.81
"ALB",1,33,64.81
"ALB",1,34,64.81
"ALB",1,35,64.81
"ALB",1,36,64.81
"ALB",1,37,64.81
"ALB",1,38,64.81
"ALB",1,39,64.81
"ALB",1,40,64.81
"ALB",1,41,59.26
"ALB",1,42,59.26
"ALB",1,43,59.26
"ALB",1,44,59.26
"ALB",1,45,59.26
"ALB",1,46,59.26
"ALB",1,47,59.26
"ALB",1,48,59.26
"ALB",1,49,59.26
"ALB",1,50,59.26
"ALB",1,51,59.26
"ALB",1,52,59.26
"ALB",1,53,59.26
"ALB",1,54,59.26
"ALB",1,55,59.26
"ALB",1,56,59.26
"ALB",1,57,59.26
"ALB",1,58,59.26
"ALB",1,59,59.26
"ALB",1,60,59.26
"ALB",1,61,59.26
"ALB",1,62,59.26
"ALB",1,63,59.26
"ALB",1,64,59.26
"ALB",1,65,59.26
"ALB",1,66,59.26
"ALB",1,67,59.26
"ALB",1,68,59.26
"ALB",1,69,59.26
"ALB",1,70,59.26
"ALB",1,71,59.26
"ALB",1,72,59.26
"ALB",1,73,53.7
"ALB",1,74,53.7
"ALB",1,75,53.7
"ALB",1,76,53.7
"ALB",1,77,53.7
"ALB",1,78,53.7
"ALB",1,79,53.7
"ALB",1,80,53.7
"ALB",1,81,53.7
"ALB",1,82,53.7
"ALB",1,83,53.7
"AND",0,-168,0
"AND",0,-167,0
"AND",0,-166,0
"AND",0,-165,0
"AND",0,-164,0
"AND",0,-163,0
"AND",0,-162,0
"AND",0,-161,0
"AND",0,-160,0
"AND",0,-159,0
"AND",0,-158,9.26
"AND",0,-157,20.37
"AND",0,-156,20.37
"AND",0,-155,31.48
"AND",0,-154,31.48
"AND",0,-153,31.48
"AND",0,-152,31.48
"AND",0,-151,31.48
"AND",0,-150,31.48
"AND",0,-149,31.48
"AND",0,-148,31.48
"AND",0,-147,31.48
"AND",0,-146,48.15
"AND",0,-145,48.15
"AND",0,-144,48.15
"AND",0,-143,48.15
"AND",0,-142,48.15
"AND",0,-141,48.15
"AND",0,-140,48.15
"AND",0,-139,48.15
"AND",0,-138,48.15
"AND",0,-137,48.15
"AND",0,-136,48.15
"AND",0,-135,48.15
"AND",0,-134,48.15
"AND",0,-133,48.15
"AND",0,-132,56.48
"AND",0,-131,56.48
"AND",0,-130,56.48
"AND",0,-129,56.48
"AND",0,-128,56.48
"AND",0,-127,56.48
"AND",0,-126,56.48
"AND",0,-125,56.48
"AND",0,-124,56.48
"AND",0,-123,56.48
"AND",0,-122,56.48
"AND",0,-121,56.48
"AND",0,-120,52.78
"AND",0,-119,52.78
"AND",0,-118,52.78
"AND",0,-117,52.78
"AND",0,-116,52.78
"AND",0,-115,52.78
"AND",0,-114,52.78
"AND",0,-113,52.78
"AND",0,-112,52.78
"AND",0,-111,52.78
"AND",0,-110,52.78
"AND",0,-109,52.78
"AND",0,-108,52.78
"AND",0,-107,52.78
"AND",0,-106,52.78
"AND",0,-105,52.78
"AND",0,-104,52.78
"AND",0,-103,52.78
"AND",0,-102,52.78
"AND",0,-101,52.78
"AND",0,-100,52.78
"AND",0,-99,50
"AND",0,-98,50
"AND",0,-97,50
"AND",0,-96,50
"AND",0,-95,50
"AND",0,-94,50
"AND",0,-93,50
"AND",0,-92,50
"AND",0,-91,50
"AND",0,-90,50
"AND",0,-89,50
"AND",0,-88,50
"AND",0,-87,50
"AND",0,-86,50
"AND",0,-85,50
"AND",0,-84,50
"AND",0,-83,50
"AND",0,-82,50
"AND",0,-81,50
"AND",0,-80,50
"AND",0,-79,50
"AND",0,-78,50
"AND",0,-77,38.89
"AND",0,-76,38.89
"AND",0,-75,38.89
"AND",0,-74,38.89
