,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,MAX_SI,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,DEAD_PEAK_1,DEAD_PEAK_2,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
125,MKD,Macedonia,,EPI_FIRST_WAVE,2083459.0,25991.0,124.74927512372453,883.0,4.238144355132499,2020-03-14,2020-03-23,2020-03-30,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
126,MLI,Mali,-7,EPI_SECOND_WAVE,19658031.0,3444.0,1.7519557274072872,132.0,0.06714812892501798,2020-04-12,2020-04-01,2020-04-06,2020-04-14,128,72.22,124.0,,1.8915724564665979,,3.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,72.22,2.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,52.78,-13,,-7,,,,-7,30,,13.0,-7,68.0,0.0,129.0,0.0,0.0,0.0,36.0,91.0,0.0,110.0,45,3
127,MLT,Malta,,EPI_FIRST_WAVE,502653.0,5258.0,104.60496605013797,49.0,0.9748275649404261,2020-03-09,2020-04-10,2020-05-06,2020-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
128,MMR,Myanmar,16,EPI_FIRST_WAVE,54045420.0,42365.0,7.838777087864244,1038.0,0.1920606778520733,2020-06-19,2020-04-01,2020-04-18,2020-09-09,,86.11,,,,,3.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0,65.74,,,,,,,,,,,,-8,9,-19,16,6.0,13,0,178,,,0,,,,,,,,,,,,1
129,MNE,Montenegro,,EPI_FIRST_WAVE,622137.0,16436.0,264.186184071997,255.0,4.098775671596449,2020-03-19,2020-03-27,2020-04-19,2020-06-29,211,,254.0,,3.181590476041116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
130,MNG,Mongolia,,EPI_SECOND_WAVE,3225167.0,337.0,1.0449071319407646,0.0,0.0,2020-04-15,,,,201,90.74,0.0,,0.0,,,,,,,,,,,,,3.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,1.0,2.0,71.3,,,,,,,,,,,,175.0,3.0,202.0,102.0,3.0,3.0,150.0,188.0,0.0,202.0,162,3
131,MNP,Northern Mariana Islands,,,57216.0,88.0,15.380313199105146,2.0,0.3495525727069351,2020-03-31,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
132,MOZ,Mozambique,22,EPI_FIRST_WAVE,30366036.0,11748.0,3.8687960456873594,82.0,0.027003853910994507,2020-05-21,2020-05-26,2020-06-22,2020-07-19,203,80.56,71.0,,1.554893230470885,,3.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,56.48,2.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,62.04,-64,,-64,,,,22,3,,-65.0,3,139.0,0.0,195.0,0.0,0.0,0.0,109.0,65.0,0.0,204.0,116,2
133,MRT,Mauritania,-5,EPI_FIRST_WAVE,4525696.0,7638.0,16.876962129139915,163.0,0.36016559662867326,2020-05-16,2020-04-03,2020-05-22,2020-05-28,189,77.78,161.0,,2.975763844024581,,3.0,1.0,2.0,4.0,0.0,2.0,2.0,4.0,0.0,2.0,77.78,3.0,1.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,77.78,-18,,-15,-15,,-15,-5,-11,,-21.0,-11,89.0,0.0,95.0,96.0,0.0,98.0,98.0,160.0,0.0,190.0,95,2
134,MSR,Montserrat,-15,,,13.0,,1.0,,,2020-04-26,,,,72.22,,,,,3.0,3.0,2.0,4.0,0.0,3.0,0.0,4.0,2.0,2.0,72.22,,,,,,,,,,,,-41,-31,-31,-31,,-39,,-31,,-40.0,-31,,,,,,,,,,,,0
135,MUS,Mauritius,4,EPI_SECOND_WAVE,1265711.0,435.0,3.4368035041174485,10.0,0.07900697710614825,2020-03-21,2020-03-22,2020-04-02,2020-04-28,45,82.41,10.0,,0.39921880725623815,,3.0,3.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,50.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,82.41,-3,-2,-2,,,1,,-3,71.0,46.0,1,46.0,46.0,46.0,0.0,0.0,43.0,0.0,46.0,0.0,0.0,43,3
136,MWI,Malawi,122,EPI_FIRST_WAVE,18628747.0,5885.0,3.1590959928759568,183.0,0.09823527046666101,2020-05-26,2020-04-08,2020-06-14,2020-06-22,184,64.81,179.0,,3.6460206900916576,,3.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,56.48,3.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,1.0,2.0,60.19,-16,,-19,122,,,,-19,,-5.0,10,157.0,0.0,185.0,41.0,0.0,0.0,0.0,151.0,0.0,185.0,142,2
137,MYS,Malaysia,66,EPI_FIRST_WAVE,31949777.0,24514.0,7.672667011103083,214.0,0.06698012321024964,2020-03-14,2020-03-18,2020-03-23,2020-03-23,,75.0,,,,,3.0,3.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,73.15,,,,,,,,,,,,0,0,0,,,,0,66,21.0,-54.0,0,,,,,,,,,,,,1
138,NAM,Namibia,-85,EPI_FIRST_WAVE,2494530.0,12501.0,50.11364866327525,133.0,0.5331665684517725,2020-04-02,2020-07-11,2020-07-22,2020-07-31,139,73.15,133.0,,2.783705142177559,,2.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,2.0,51.85,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,57.41,-116,,-116,-67,,-106,-106,-109,,-119.0,-106,0.0,0.0,63.0,11.0,0.0,40.0,107.0,49.0,0.0,129.0,43,2
139,NCL,New Caledonia,,,287800.0,27.0,0.9381514940931203,0.0,0.0,2020-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
140,NER,Niger,3,EPI_FIRST_WAVE,23310715.0,1215.0,0.52121953359217,69.0,0.0296001216607899,2020-04-05,2020-03-25,2020-04-02,2020-04-06,168,61.11,69.0,,0.7781178387639894,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,52.78,3.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,61.11,-5,,-12,,,,3,-6,,,3,72.0,0.0,53.0,0.0,0.0,0.0,46.0,140.0,0.0,0.0,46,2
141,NGA,Nigeria,30,EPI_FIRST_WAVE,200963599.0,61882.0,3.0792641208620073,1129.0,0.056179328277256815,2020-04-25,2020-03-24,2020-04-06,2020-04-12,236,85.65,1129.0,,10.339240816475595,,2.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,1.0,2.0,48.61,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,76.39,2,5,-4,4,5.0,5,5,-1,,-25.0,5,141.0,36.0,147.0,37.0,36.0,36.0,122.0,144.0,0.0,226.0,166,2
142,NIC,Nicaragua,18,EPI_FIRST_WAVE,6545502.0,5434.0,8.30188425578359,155.0,0.23680383872772479,2020-05-23,2020-03-28,2020-05-04,2020-05-23,210,16.67,154.0,,1.82576509061969,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.11,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
143,NLD,Netherlands,24,EPI_FIRST_WAVE,17332850.0,272092.0,156.9805311878889,6954.0,4.012034950974594,2020-03-07,2020-03-07,2020-03-12,2020-03-15,,79.63,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.85,,,,,,,,,,,,9,8,3,164,,16,,,,-9.0,9,,,,,,,,,,,,1
144,NOR,Norway,11,EPI_SECOND_WAVE,5347896.0,17232.0,32.22201778045048,279.0,0.5217004967935054,2020-03-04,2020-03-13,2020-03-20,2020-03-25,146,79.63,253.0,,2.9072367738470204,,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,40.74,3.0,2.0,2.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,79.63,-1,,11,11,,,3,2,,81.0,3,39.0,0.0,70.0,28.0,0.0,0.0,35.0,92.0,0.0,44.0,59,3
145,NPL,Nepal,-54,EPI_FIRST_WAVE,28608710.0,153008.0,53.48301269089029,829.0,0.28977189114783575,2020-05-13,2020-05-17,2020-05-29,2020-06-05,,96.3,,,,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,92.59,,,,,,,,,,,,-59,-56,-60,-56,-54.0,-55,-56,-55,,-114.0,-56,,,,,,,,,,,,1
146,NZL,New Zealand,-3,EPI_SECOND_WAVE,4917000.0,1934.0,3.933292658124873,25.0,0.0508440105755542,2020-03-19,2020-03-29,2020-04-13,2020-04-17,218,96.3,25.0,,0.12353974016417334,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,96.3,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,96.3,-5,-4,-13,-6,-3.0,-6,-6,-9,,-30.0,-6,44.0,53.0,79.0,94.0,33.0,71.0,71.0,200.0,0.0,219.0,71,3
147,OMN,Oman,115,EPI_SECOND_WAVE,4974986.0,111837.0,224.79862254888758,1147.0,2.305534126126184,2020-03-19,2020-04-01,2020-04-18,2020-04-25,200,100.0,609.0,,7.807706483748583,,3.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,85.19,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,87.96,-17,115,-15,-15,-13.0,9,-14,-14,,-15.0,-14,160.0,24.0,158.0,158.0,156.0,111.0,157.0,131.0,0.0,158.0,157,3
148,PAK,Pakistan,6,EPI_FIRST_WAVE,216565318.0,327063.0,15.102279673423979,6727.0,0.3106222206826303,2020-03-27,2020-03-20,2020-03-23,2020-03-29,187,96.3,6318.0,,101.62191269943511,,3.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,52.78,3.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,2.0,1.0,61.11,-22,3,-7,-7,3.0,3,4,1,,42.0,3,188.0,23.0,150.0,150.0,76.0,122.0,110.0,61.0,0.0,41.0,138,2
149,PAN,Panama,38,EPI_FIRST_WAVE,4246439.0,127866.0,301.1134741368003,2622.0,6.174585340799668,2020-03-13,2020-03-11,2020-03-24,2020-03-28,228,93.52,2622.0,,26.048932932544044,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,8.33,3.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,83.33,1,9,2,,23.0,21,12,38,,171.0,9,216.0,54.0,215.0,0.0,115.0,196.0,205.0,179.0,0.0,46.0,203,2
150,PER,Peru,42,EPI_FIRST_WAVE,32510453.0,883116.0,271.6406320145708,34033.0,10.468325372150305,2020-03-20,2020-03-20,2020-03-22,2020-03-28,226,96.3,33759.0,,361.90224850446106,,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,94.44,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,85.19,-8,-4,-8,-5,42.0,-5,-5,-4,,81.0,-5,216.0,46.0,216.0,213.0,143.0,213.0,213.0,199.0,0.0,127.0,208,2
151,PHL,Philippines,49,EPI_FIRST_WAVE,108116615.0,365799.0,33.83374516488516,6915.0,0.6395871716849441,2020-03-25,2020-02-02,2020-03-14,2020-03-16,265,100.0,6914.0,,47.543096225410736,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,19.44,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,79.63,37,45,42,45,42.0,42,42,49,152.0,3.0,42,209.0,72.0,213.0,153.0,91.0,153.0,135.0,107.0,20.0,252.0,163,2
152,PNG,Papua New Guinea,-104,EPI_FIRST_WAVE,8776109.0,583.0,0.6643035085366419,7.0,0.007976199930971687,2020-07-27,2020-07-29,2020-08-29,,111,83.8,7.0,,0.09003351588358964,,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,45.37,3.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,55.56,-128,9,-127,-104,-127.0,-112,-127,-130,,-180.0,-127,10.0,5.0,30.0,0.0,5.0,8.0,10.0,0.0,0.0,72.0,5,2
153,POL,Poland,27,EPI_FIRST_WAVE,37970874.0,228318.0,60.129772098477375,4172.0,1.098736889753973,2020-03-18,2020-03-13,2020-03-18,2020-03-25,,83.33,,,,,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.67,,,,,,,,,,,,-1,,-3,18,,18,18,2,,81.0,18,,,,,,,,,,,,1
154,PRI,Puerto Rico,-12,EPI_SECOND_WAVE,3193694.0,60984.0,190.9512933925417,791.0,2.47675575681327,2020-03-28,2020-03-28,2020-03-30,2020-04-02,161,93.52,453.0,,7.292260454510653,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,93.52,3.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,67.59,-12,-13,-15,-13,-13.0,-13,-16,,,10.0,-13,162.0,39.0,162.0,80.0,162.0,131.0,80.0,0.0,0.0,152.0,162,3
155,PRT,Portugal,22,EPI_FIRST_WAVE,10269417.0,112440.0,109.4901492460575,2276.0,2.216289395980317,2020-03-12,2020-03-18,2020-03-21,2020-03-22,,87.96,,,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,37.96,,,,,,,,,,,,-2,1,1,1,,1,22,,23.0,-52.0,1,,,,,,,,,,,,1
156,PRY,Paraguay,19,EPI_FIRST_WAVE,7044636.0,58259.0,82.69980166469921,1278.0,1.8141462525530063,2020-03-25,2020-03-21,2020-04-06,2020-05-01,,94.44,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,85.19,,,,,,,,,,,,-11,-8,-11,0,0.0,-4,-5,3,,-14.0,-5,,,,,,,,,,,,1
157,PSE,Palestina,-5,EPI_FIRST_WAVE,4685306.0,61183.0,130.58485400953535,509.0,1.0863751481760209,2020-03-11,2020-03-27,2020-05-24,2020-07-02,199,96.3,444.0,,6.533457116624045,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,96.3,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,83.33,-21,-5,-22,-5,-5.0,-5,-22,-22,,,-21,200.0,85.0,200.0,60.0,200.0,200.0,200.0,199.0,0.0,0.0,195,2
158,PYF,French Polynesia,,EPI_FIRST_WAVE,279287.0,5797.0,207.564261852503,20.0,0.716109235302753,2020-03-19,2020-09-12,2020-09-23,2020-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159,QAT,Qatar,-1,EPI_FIRST_WAVE,2832067.0,130711.0,461.5392220593651,229.0,0.808596689273241,2020-03-09,2020-03-29,2020-04-08,2020-04-23,236,86.11,218.0,,2.1260277120714894,,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,86.11,3.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,83.33,-19,,-7,-7,-14.0,,-12,-11,45.0,-21.0,-12,175.0,0.0,202.0,128.0,170.0,0.0,36.0,89.0,150.0,216.0,207,2
160,ROU,Romania,8,EPI_FIRST_WAVE,19356544.0,201032.0,103.85738280552562,6245.0,3.2262990748761764,2020-03-15,2020-03-23,2020-03-24,2020-03-25,,87.04,,,,,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,75.0,,,,,,,,,,,,-12,,-15,-1,8.0,2,7,-2,,,-4,,,,,,,,,,,,1
161,RUS,Russia,3,EPI_SECOND_WAVE,144373535.0,1480646.0,102.55660776055667,25525.0,1.7679833080210996,2020-03-27,2020-03-27,2020-03-29,2020-03-31,163,87.04,16568.0,,98.91681730811243,,3.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,2.0,69.91,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,78.24,-6,3,-17,3,,-22,-22,3,10.0,-22.0,-10,94.0,43.0,164.0,150.0,0.0,158.0,158.0,107.0,143.0,164.0,157,3
162,RWA,Rwanda,-71,EPI_FIRST_WAVE,12626950.0,5062.0,4.0088857562594296,34.0,0.026926534119482537,2020-03-30,2020-05-31,2020-07-19,2020-08-19,205,90.74,29.0,,0.5158176748232415,,3.0,2.0,2.0,3.0,0.0,1.0,1.0,4.0,3.0,2.0,69.44,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,70.37,-76,-71,-84,,-71.0,-71,-71,-71,-71.0,-84.0,-71,205.0,44.0,206.0,0.0,77.0,149.0,137.0,158.0,200.0,206.0,178,2
163,SAU,Saudi Arabia,32,EPI_FIRST_WAVE,34268528.0,344157.0,100.4294669441302,5264.0,1.5361033307295837,2020-03-20,2020-03-25,2020-03-30,2020-04-01,235,94.44,5264.0,,42.68123753010761,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,89.81,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,71.3,-16,,-12,32,-4.0,-2,-17,-10,63.0,-53.0,-9,219.0,0.0,215.0,43.0,92.0,69.0,105.0,169.0,140.0,225.0,183,2
164,SDN,Sudan,75,EPI_FIRST_WAVE,42813238.0,13724.0,3.20555058227551,836.0,0.1952667069937574,2020-04-27,2020-03-15,2020-04-15,2020-04-19,214,91.67,835.0,,12.381309431915739,,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,45.37,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,87.04,-1,34,-1,,11.0,34,29,1,,,8,213.0,81.0,213.0,0.0,117.0,92.0,141.0,119.0,0.0,0.0,180,2
165,SEN,Senegal,-8,EPI_FIRST_WAVE,16296364.0,15525.0,9.526664966491913,321.0,0.19697645437963954,2020-03-25,2020-04-02,2020-04-21,2020-05-05,235,77.78,321.0,,2.9083665105432646,,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,1.0,2.0,77.78,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,32.41,-17,,-19,-10,,-8,-10,-13,106.0,-27.0,-10,101.0,0.0,125.0,49.0,0.0,97.0,76.0,119.0,21.0,222.0,94,2
166,SGP,Singapore,23,EPI_FIRST_WAVE,5703569.0,57951.0,101.60480218613993,28.0,0.04909206849255265,2020-02-07,2020-03-22,2020-04-03,2020-04-15,286,85.19,28.0,,0.43859235516735756,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,36.11,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,85.19,17,16,-9,17,,17,17,,,-62.0,16,55.0,35.0,215.0,189.0,0.0,72.0,72.0,0.0,0.0,268.0,73,2
167,SLB,Solomon Islands,,,669823.0,3.0,0.04478795144388891,0.0,0.0,,,,,,61.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
168,SLE,Sierra Leone,9,EPI_FIRST_WAVE,7813215.0,2343.0,2.9987655529765918,74.0,0.09471133201889363,2020-04-21,2020-04-24,2020-05-01,2020-05-06,206,94.44,74.0,,1.361073680332296,,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,84.26,3.0,0.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,73.15,-24,-19,-33,-19,,-19,-19,-27,,-24.0,-24,91.0,6.0,103.0,6.0,0.0,24.0,64.0,112.0,0.0,196.0,68,2
169,SLV,El Salvador,36,EPI_FIRST_WAVE,6453553.0,32421.0,50.237442847374155,944.0,1.4627601260886833,2020-04-02,2020-04-01,2020-04-09,2020-05-01,176,100.0,777.0,,10.508337413372962,,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,0.0,88.89,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,89.81,-21,-11,-11,20,36.0,-11,-14,-20,23.0,,-14,177.0,73.0,175.0,70.0,109.0,175.0,177.0,177.0,141.0,0.0,177,2
170,SMR,San Marino,46,EPI_SECOND_WAVE,33860.0,819.0,241.87832250443,42.0,12.404016538688719,2020-02-28,2020-03-02,2020-03-13,2020-03-18,152,92.59,42.0,,0.4389032563722748,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.33,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,92.59,-2,,6,6,13.0,39,46,-1,80.0,-4.0,6,138.0,0.0,99.0,99.0,50.0,23.0,16.0,63.0,56.0,140.0,85,3
171,SOM,Somalia,1,EPI_SECOND_WAVE,15442905.0,3897.0,2.523488942009292,102.0,0.06604974905951956,2020-04-16,2020-04-10,2020-04-16,2020-04-23,138,60.19,93.0,9.0,1.6533175583083035,0.02114827445424659,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,52.78,3.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,60.19,-20,,-22,,,154,142,-23,,,1,139.0,0.0,97.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,48,4
172,SRB,Serbia,0,EPI_THIRD_WAVE,6944975.0,38115.0,54.88140706050058,786.0,1.13175353403,2020-03-14,2020-03-21,2020-03-28,2020-03-29,85,100.0,242.0,501.0,5.427906103200865,9.947890055808589,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,100.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,100.0,-5,0,-6,-6,0.0,-6,-3,-5,62.0,-15.0,-5,62.0,31.0,78.0,63.0,57.0,63.0,60.0,62.0,10.0,86.0,62,5
173,SSD,South Sudan,-27,EPI_FIRST_WAVE,11062113.0,2876.0,2.599864962507615,56.0,0.050623239881928524,2020-05-07,2020-05-15,2020-05-20,2020-05-30,133,86.11,47.0,,0.7703903974604435,,3.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,73.15,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,85.19,-56,-48,-60,,14.0,-27,-33,-52,,-8.0,-51,134.0,25.0,134.0,0.0,88.0,100.0,86.0,98.0,0.0,110.0,134,2
174,STP,São Tomé and Príncipe,,EPI_SECOND_WAVE,215056.0,938.0,43.616546387917566,15.0,0.6974927460754408,2020-04-09,2020-05-01,2020-05-09,2020-05-26,86,,13.0,2.0,0.2719098690569876,0.05106926642743147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
175,SUR,Suriname,160,EPI_FIRST_WAVE,581372.0,5155.0,88.66956096956854,109.0,1.8748752949918468,2020-03-22,2020-04-04,2020-06-16,2020-06-25,203,100.0,108.0,,1.6437979714379678,,3.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,71.3,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,85.19,-19,61,-22,-7,2.0,-7,-19,-21,,,-7,180.0,21.0,178.0,172.0,162.0,176.0,150.0,162.0,0.0,0.0,185,2
176,SVK,Slovakia,1,EPI_FIRST_WAVE,5454073.0,37911.0,69.50952068298315,134.0,0.24568794733770524,2020-03-14,2020-04-07,2020-04-16,2020-04-19,,87.04,,,,,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,75.0,,,,,,,,,,,,-28,,-28,1,,1,1,-25,150.0,-97.0,-25,,,,,,,,,,,,1
177,SVN,Slovenia,12,EPI_FIRST_WAVE,2087946.0,19313.0,92.49760290735489,179.0,0.8573018650865492,2020-03-08,2020-03-18,2020-03-27,2020-03-30,,89.81,,,,,3.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,2.0,50.93,,,,,,,,,,,,-2,2,1,1,-2.0,,12,,,-14.0,1,,,,,,,,,,,,1
